Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],Fire Alarm
17.557000000000002,53.23,1109.0,490.0,12849.0,19453,938.905,Yes
21.33,47.26,132.0,400.0,13216.0,20085,939.646,Yes
12.206,53.22,1153.0,408.0,12878.0,19437,938.757,Yes
26.51,49.45,1289.0,400.0,12960.0,19405,938.688,Yes
19.91,53.67,124.0,400.0,13220.0,20098,939.656,Yes
14.359000000000002,49.3,97.0,400.0,13186.0,20080,939.626,No
24.54,53.12,1161.0,538.0,12833.0,19443,938.898,Yes
22.24,48.39,18.0,400.0,13256.0,20222,939.705,Yes
25.031,49.31,10.0,400.0,13143.0,20050,939.588,No
20.367,48.95,174.0,428.0,12774.0,20539,937.42,No
-7.057,46.96,116.0,415.0,12776.0,20626,937.498,No
13.11,50.02,34.0,400.0,12865.0,19817,939.798,No
-4.55,50.82,318.0,400.0,13108.0,19954,939.361,Yes
15.286,50.59,1107.0,400.0,12910.0,19453,938.764,Yes
51.76,22.83,35029.0,773.0,12616.0,18705,936.891,No
18.58,51.14,172.0,400.0,13144.0,19994,939.644,No
-4.434,55.75,258.0,400.0,13123.0,19990,939.473,Yes
29.42,40.28,65.0,416.0,12842.0,20721,937.555,No
15.970999999999998,47.9,1157.0,470.0,12860.0,19447,938.906,Yes
-7.245,49.38,191.0,400.0,13157.0,20074,939.61,Yes
25.02,50.61,1423.0,438.0,12973.0,19368,938.781,Yes
52.06,22.18,23285.0,639.0,12690.0,18888,936.886,No
19.92,53.91,66.0,400.0,13230.0,20144,939.669,Yes
24.14,53.52,1126.0,660.0,12791.0,19449,939.061,Yes
12.013,47.28,1230.0,431.0,12872.0,19422,938.797,Yes
24.92,51.87,1132.0,406.0,12908.0,19448,938.703,Yes
27.073,56.21,11.0,400.0,13048.0,19936,939.755,No
18.71,48.9,29.0,400.0,13138.0,20030,939.6,No
43.51,29.92,5770.0,400.0,13044.0,19595,936.883,No
24.44,53.34,1138.0,563.0,12827.0,19450,938.929,Yes
22.46,47.53,65.0,400.0,13246.0,20155,939.649,Yes
28.77,41.58,89.0,400.0,12791.0,20636,937.429,No
22.73,56.45,915.0,726.0,12770.0,19514,939.138,Yes
20.611,24.65,19638.0,648.0,12692.0,18950,936.879,No
22.09,55.32,289.0,400.0,13132.0,19924,939.674,Yes
23.903,50.39,48.0,400.0,13128.0,20003,939.608,No
18.447,53.77,41.0,400.0,13196.0,20123,939.622,No
5.912999999999999,14.77,714.0,400.0,13719.0,20492,936.662,No
24.47,53.77,1210.0,410.0,12921.0,19423,938.697,Yes
-4.082,51.13,278.0,400.0,13122.0,19983,939.444,Yes
14.05,56.4,32.0,400.0,13057.0,19938,939.783,No
34.07,16.86,0.0,1434.0,12806.0,20725,930.904,Yes
-6.487,40.57,92.0,400.0,12788.0,20652,937.504,No
18.561,48.47,1128.0,400.0,12913.0,19440,938.682,Yes
15.449000000000002,48.2,1199.0,400.0,12944.0,19438,938.735,Yes
23.414,56.17,11.0,400.0,12640.0,19697,939.794,No
14.583,53.57,1145.0,400.0,12895.0,19442,938.8,Yes
26.81,47.59,1073.0,580.0,12830.0,19462,938.977,Yes
24.36,47.39,139.0,400.0,13186.0,21015,937.012,No
5.352,53.19,301.0,400.0,13124.0,19908,939.656,Yes
16.735,51.73,1103.0,483.0,12854.0,19454,938.906,Yes
26.39,50.22,1025.0,530.0,12845.0,19480,938.959,Yes
-1.109,53.89,937.0,715.0,12768.0,19490,939.051,Yes
26.22,51.7,1321.0,400.0,12974.0,19399,938.72,Yes
26.53,45.63,75.0,400.0,12784.0,20651,937.469,No
-3.787,49.57,103.0,400.0,13227.0,20111,939.655,Yes
20.849,47.61,1013.0,528.0,12844.0,19487,938.917,Yes
16.378,53.28,1253.0,415.0,12923.0,19421,938.726,Yes
20.29,53.95,252.0,400.0,13135.0,20017,939.466,Yes
5.0280000000000005,53.53,1356.0,406.0,12951.0,19394,938.717,Yes
-8.568,50.29,130.0,400.0,13197.0,20139,939.651,Yes
22.52,57.34,883.0,721.0,12771.0,19504,939.147,Yes
12.879,47.96,1151.0,400.0,12895.0,19444,938.767,Yes
12.273,51.99,1320.0,406.0,12996.0,19406,938.86,Yes
19.03,53.56,236.0,400.0,13135.0,20033,939.588,Yes
-7.751,14.48,1618.0,400.0,13673.0,20260,936.672,No
12.01,38.26,0.0,400.0,13347.0,21188,937.447,No
-4.091,47.96,68.0,400.0,12799.0,20653,937.371,No
20.43,48.34,72.0,400.0,13199.0,20105,939.632,No
-4.843999999999999,50.63,333.0,400.0,13097.0,19933,939.333,Yes
